countries_name,countries_dive_name,countries_dive_avg_depth,latitudes,longitudes
Alabama,Blue Water,18.3 m,"33° 17.74' N","86° 49.034' W"
Alabama,Dive land park,13.7 m,"33° 55.373' N","85° 54.353' W"
Alabama,Madison Aquatic & Recreation Park,13.7 m,"34° 40.535' N","86° 43.817' W"
Alabama,Poseidon's Playground,12.2 m,"30° 14.07' N","87° 31.522' W"
Alabama,The Whiskey wreck,4.6 m,"30° 14.614' N","87° 41.879' W"
Alaska,Birch lake,9.1 m,"64° 18.853' N","146° 39.76' W"
Alaska,Mountain Point,4.6 m,"55° 17.509' N","131° 32.626' W"
Alaska,Whittier Cessna,9.1 m,"60° 46.639' N","148° 40.174' W"
Arizona,Acacia picnic site,6.1 m,"33° 32.267' N","111° 25.961' W"
Arizona,Cabinsite,13.7 m,"35° 14.401' N","114° 34.607' W"
Arizona,Lake Mead - Black Canyon,4.6 m,"36° 1.118' N","114° 43.683' W"
Arkansas,Beaver Lake - Dam Site Bluffs,9.1 m,"36° 25.722' N","93° 51.443' W"
Arkansas,Bull Shoals Lake,12.2 m,"36° 22.99' N","92° 36.253' W"
California,Folsom Lake,3 m,"38° 44.681' N","121° 8.543' W"
California,June Lake,10 m,"37° 47.411' N","119° 3.972' W"
California,Mission Bay Jetty North,7.6 m,"32° 45.59' N","117° 14.825' W"
California,Mission Bay Jetty South,7.6 m,"32° 45.52' N","117° 14.573' W"
Colorado,Aurora Resevior,9.1 m,"39° 37.087' N","104° 39.218' W"
Colorado,Downtown Aquarium,6.9 m,"39° 45.1' N","105° 0.85' W"
Colorado,Horsetooth Reservoir,6.1 m,"40° 34.952' N","105° 10.111' W"
Colorado,King Fisher Ponds,8 m,"39° 31.123' N","105° 4.978' W"
Colorado,Pacific Tarn lake,7 m,"39° 25.183' N","106° 7.202' W"
Connecticut,Brownstone Exploration and Discovery Park,10.7 m,"41° 34.504' N","72° 38.666' W"
Connecticut,New London Ledge Lighthouse,6.1 m,"41° 18.348' N","72° 4.644' W"
Florida,Boynton Comb Reef,15.8 m,"26° 29.128' N","80° 2.341' W"
Florida,Briney Breezes,16.8 m,"26° 30.56' N","80° 2.083' W"
Florida,Castor Wreck,21.3 m,"26° 28.73' N","80° 2.228' W"
Florida,Tumble Rock,15.8 m,"26° 30.187' N","80° 2.122' W"
Georgia,Crew Boat Mary Lou,9.1 m,"31° 18.422' N","81° 9.18' W"
Georgia,Reef C - Esparta Wreck,13.7 m,"30° 50.845' N","81° 10.171' W"
Georgia,Reef C - M-60 Battle Tanks,13.7 m,"30° 51.701' N","81° 9.846' W"
Georgia,Reef CCA - Deck Barge,15.2 m,"31° 43.18' N","80° 41.166' W"
Georgia,Reef CCA - Deck Barge 2,15.2 m,"31° 42.039' N","80° 41.241' W"
Georgia,Reef CCA - SMS Warehouse Barge,15.2 m,"31° 43.22' N","80° 40.638' W"
Georgia,Reef CCA - Tug Matt Turecamo,15.2 m,"31° 43.2' N","80° 40.17' W"
Georgia,Reef DRH - RV “Zapala”,13.7 m,"31° 17.441' N","80° 58.021' W"
Georgia,Reef DRH - Tug “Rio Caroni”,13.7 m,"31° 16.37' N","80° 57.058' W"
Georgia,Reef DRH - “John Bird” Wreck,13.7 m,"31° 17.232' N","80° 58.765' W"
Georgia,Reef DW - Dump Scow,45.7 m,"31° 21.525' N","79° 50.403' W"
Georgia,Reef F - Landing Craft 1,10.7 m,"31° 5.926' N","81° 12.483' W"
Georgia,Reef F - Landing Craft 2,10.7 m,"31° 5.939' N","81° 12.255' W"
Georgia,Reef G - Liberty Ship “Nettleton”,16.8 m,"30° 58.704' N","80° 58.562' W"
Georgia,Reef G - M-60 Battle Tanks,16.8 m,"30° 59.361' N","80° 58.603' W"
Georgia,Reef G - Tug “Mac Tide 21”,16.8 m,"30° 59.269' N","80° 57.153' W"
Georgia,Reef G - Tug “Recife”,16.8 m,"30° 58.617' N","80° 58.034' W"
Georgia,Reef G - Tug “Tampa”,16.8 m,"30° 58.498' N","80° 58.875' W"
Georgia,Reef G - Work Boat “Striker”,16.8 m,"30° 58.198' N","80° 58.8' W"
Georgia,Reef J - Buoy Tender Sagebrush,16.8 m,"31° 36.6' N","80° 47.8' W"
Georgia,Reef J - Ferry Boat Janet,16.8 m,"31° 36.298' N","80° 47.575' W"
Georgia,Reef J - Liberty Ship Daniels,16.8 m,"31° 36.207' N","80° 47.75' W"
Georgia,Reef J - M-60 Battle Tanks,16.8 m,"31° 36.036' N","80° 48.295' W"
Georgia,Reef J - Tug Elmira,16.8 m,"31° 36.082' N","80° 47.673' W"
Georgia,Reef J - Tug Rio Apon,16.8 m,"31° 36.18' N","80° 49.364' W"
Georgia,Reef KC - Deck Barge,12.2 m,"31° 50.775' N","80° 46.015' W"
Georgia,Reef KC - Dump Scow,12.2 m,"31° 50.502' N","80° 46.507' W"
Georgia,Reef KC - Honey Barge,12.2 m,"31° 50.944' N","80° 46.29' W"
Georgia,Reef KC - Motherlode Barge,12.2 m,"31° 50.699' N","80° 46.533' W"
Georgia,Reef KC - Olympics Barge,12.2 m,"31° 49.904' N","80° 46.26' W"
Georgia,Reef KC - Sailboat Jupiter,12.2 m,"31° 50.211' N","80° 46.343' W"
Georgia,Reef KTK - Barge Modena,10.7 m,"31° 31.061' N","81° 0.132' W"
Georgia,Reef L - Dredge Henry Bacon,16.8 m,"31° 45.385' N","80° 36.543' W"
Georgia,Reef L - Latex Barge,16.8 m,"31° 45.379' N","80° 36.7' W"
Georgia,Reef L - M-60 Battle Tanks,16.8 m,"31° 44.463' N","80° 35.3' W"
Georgia,Reef L - Sayler Barge,16.8 m,"31° 45.2' N","80° 36.596' W"
Georgia,Reef L - Tug Delta Diamond,16.8 m,"31° 44.948' N","80° 36.405' W"
Georgia,Reef L - Tug Senasqua,16.8 m,"31° 45.03' N","80° 36.721' W"
Georgia,Reef SFC - Landing Craft Optimist,13.7 m,"30° 59.928' N","81° 2.308' W"
Georgia,Reef SFC - Landing Craft Scalper,13.7 m,"30° 59.862' N","81° 2.298' W"
Georgia,Reef SFC - M-60 Battle Tanks,13.7 m,"31° 0.483' N","81° 2.283' W"
Georgia,Reef WW - Hopper Barge,36.6 m,"31° 42.878' N","79° 58.577' W"
Georgia,Reef WW - Tug Semarca 40,36.6 m,"31° 42.434' N","79° 58.281' W"
Hawaii,Idaho - Alturas Lake,5 m,"43° 55.491' N","114° 51.076' W"
Idaho,Bob Rice Pond,6.1 m,"43° 37.564' N","116° 13.862' W"
Idaho,Jefferson County Lake,4.6 m,"43° 42.005' N","111° 54.299' W"
Idaho,Juniper Boat Dock,9.1 m,"43° 34.765' N","111° 44.304' W"
Illinois,Haigh Quarry,35 m,"41° 8.463' N","87° 49.462' W"
Illinois,Mermet Springs,20 m,"37° 17.056' N","88° 51.503' W"
