countries_name,Adresses,countries_dive_avg_depth
Alabama,Blue Water,18.3 m
Alabama,Dive land park,13.7 m
Alabama,Madison Aquatic & Recreation Park,13.7 m
Alabama,Poseidon's Playground,12.2 m
Alabama,The Whiskey wreck,4.6 m
Alaska,Birch lake,9.1 m
Alaska,Mountain Point,4.6 m
Alaska,Whittier Cessna,9.1 m
Arizona,Acacia picnic site,6.1 m
Arizona,Cabinsite,13.7 m
Arizona,Lake Mead - Black Canyon,4.6 m
Arkansas,Beaver Lake - Dam Site Bluffs,9.1 m
Arkansas,Bull Shoals Lake,12.2 m
California,Folsom Lake,3 m
California,June Lake,10 m
California,Mission Bay Jetty North,7.6 m
California,Mission Bay Jetty South,7.6 m
Colorado,Aurora Resevior,9.1 m
Colorado,Downtown Aquarium,6.9 m
Colorado,Horsetooth Reservoir,6.1 m
Colorado,King Fisher Ponds,8 m
Colorado,Pacific Tarn lake,7 m
Connecticut,Brownstone Exploration and Discovery Park,10.7 m
Connecticut,New London Ledge Lighthouse,6.1 m
Florida,Boynton Comb Reef,15.8 m
Florida,Briney Breezes,16.8 m
Florida,Castor Wreck,21.3 m
Florida,Tumble Rock,15.8 m
Georgia,Crew Boat Mary Lou,9.1 m
Georgia,Reef C - Esparta Wreck,13.7 m
Georgia,Reef C - M-60 Battle Tanks,13.7 m
Georgia,Reef CCA - Deck Barge,15.2 m
Georgia,Reef CCA - Deck Barge 2,15.2 m
Georgia,Reef CCA - SMS Warehouse Barge,15.2 m
Georgia,Reef CCA - Tug Matt Turecamo,15.2 m
Georgia,Reef DRH - RV “Zapala”,13.7 m
Georgia,Reef DRH - Tug “Rio Caroni”,13.7 m
Georgia,Reef DRH - “John Bird” Wreck,13.7 m
Georgia,Reef DW - Dump Scow,45.7 m
Georgia,Reef F - Landing Craft 1,10.7 m
Georgia,Reef F - Landing Craft 2,10.7 m
Georgia,Reef G - Liberty Ship “Nettleton”,16.8 m
Georgia,Reef G - M-60 Battle Tanks,16.8 m
Georgia,Reef G - Tug “Mac Tide 21”,16.8 m
Georgia,Reef G - Tug “Recife”,16.8 m
Georgia,Reef G - Tug “Tampa”,16.8 m
Georgia,Reef G - Work Boat “Striker”,16.8 m
Georgia,Reef J - Buoy Tender Sagebrush,16.8 m
Georgia,Reef J - Ferry Boat Janet,16.8 m
Georgia,Reef J - Liberty Ship Daniels,16.8 m
Georgia,Reef J - M-60 Battle Tanks,16.8 m
Georgia,Reef J - Tug Elmira,16.8 m
Georgia,Reef J - Tug Rio Apon,16.8 m
Georgia,Reef KC - Deck Barge,12.2 m
Georgia,Reef KC - Dump Scow,12.2 m
Georgia,Reef KC - Honey Barge,12.2 m
Georgia,Reef KC - Motherlode Barge,12.2 m
Georgia,Reef KC - Olympics Barge,12.2 m
Georgia,Reef KC - Sailboat Jupiter,12.2 m
Georgia,Reef KTK - Barge Modena,10.7 m
Georgia,Reef L - Dredge Henry Bacon,16.8 m
